main_api,sec_op,var_type,api_status,path_type
omapdss_find_dss_of_node,of_node_put,retval,success,error
hns_dsaf_find_platform_device,put_device,retval,success,error
rc_allocate_device,rc_free_device,retval,success,error
device_find_child_by_name,put_device,retval,success,error
rpi_firmware_get,rpi_firmware_put,retval,success,error
edac_mc_alloc,edac_mc_free,retval,success,error
of_phy_get,of_phy_put,retval,success,error
dfl_fpga_port_ops_get,dfl_fpga_port_ops_put,retval,success,error
rcar_fcp_get,rcar_fcp_put,retval,success,error
nfc_get_device,nfc_put_device,retval,success,error
rdma_user_mmap_entry_get_pgoff,rdma_user_mmap_entry_put,retval,success,error
rdma_user_mmap_entry_get,rdma_user_mmap_entry_put,retval,success,error
of_mdio_find_bus,put_device,retval,success,error
usb_get_phy,usb_put_phy,retval,success,error
bio_get,bio_put,arg0,success,error
cpufreq_cpu_get,cpufreq_cpu_put,retval,success,error
usb_ep_alloc_request,usb_ep_free_request,arg0,success,error
of_phy_find_device,put_device,,success,error
gpiod_get_optional,gpiod_put,retval,success,error
hci_alloc_dev,hci_free_dev,retval,success,error
pci_dev_get,pci_dev_put,,success,error
ubi_get_device,put_device,retval,success,error
xprt_switch_get,xprt_switch_put,retval,success,error
i2c_get_adapter,i2c_put_adapter,retval,success,error
iommu_group_get,iommu_group_put,retval,success,error
of_irq_find_parent,of_node_put,,success,error
wkup_m3_ipc_get,wkup_m3_ipc_put,retval,success,error
of_find_matching_node,of_node_put,retval,success,error
of_find_compatible_node,of_node_put,retval,success,error
of_find_node_by_name,of_node_put,retval,success,error
bus_find_device_by_of_node,put_device,retval,success,error
of_graph_get_endpoint_by_regs,of_node_put,retval,success,error
of_find_node_by_type,of_node_put,,success,error
driver_find_device,put_device,retval,success,error
of_cpu_device_node_get,of_node_put,retval,success,error
pci_get_device,pci_dev_put,retval,success,error
pci_scan_single_device,pci_dev_put,retval,success,error
acpi_dev_get_first_match_dev,acpi_dev_put,retval,success,error
agp_alloc_bridge,agp_put_bridge,retval,success,error
alloc_mdio_bitbang,free_mdio_bitbang,retval,success,error
alloc_pdev,free_pdev,retval,success,error
armpmu_alloc,armpmu_free,retval,success,error
atari_stram_alloc,atari_stram_free,retval,success,error
bus_find_device,put_device,retval,success,error
chsc_get_next_subchannel,put_device,retval,success,error
dev_pm_opp_get_opp_table,dev_pm_opp_put_opp_table,retval,success,error
devfreq_recommended_opp,dev_pm_opp_put,retval,success,error
dma_fence_get_stub,dma_fence_put,,success,error
dpll_device_get,dpll_device_put,NoUsage,success,error
drbd_find_resource,kref_put,retval,success,error
drm_crtc_find,drm_crtc_vblank_put,retval,success,error
dw_mipi_dsi_rockchip_find_second,put_device,retval,success,error
edac_device_alloc_ctl_info,edac_device_free_ctl_info,retval,success,error
find_inode,iput,retval,success,error
find_service_by_handle,vchiq_service_put,retval,success,error
fw_unit_get,fw_unit_put,retval,success,error
get_mtd_device_nm,put_mtd_device,retval,success,error
get_task_pid,put_pid,retval,success,error
hci_get_route,hci_dev_put,retval,success,error
j1939_session_skb_get_by_offset,kfree_skb,retval,success,error
kobject_create_and_add,kobject_put,retval,success,error
machine__find_thread,thread__put,retval,success,error
mlx5e_tc_int_port_get,mlx5e_tc_int_port_put,arg0,success,error
mmc_alloc_host,mmc_free_host,retval,success,error
mock_fence,dma_fence_put,retval,success,error
mtk_alloc_clk_data,mtk_free_clk_data,retval,success,error
nf_ct_tmpl_alloc,nf_ct_tmpl_free,retval,success,error
nvmem_cell_get,nvmem_cell_put,retval,success,error
of_find_device_by_node,put_device,,success,error
of_find_matching_node_and_match,of_node_put,retval,success,error
of_find_node_by_path,of_node_put,retval,success,error
of_find_node_by_phandle,of_node_put,retval,success,error
of_find_node_with_property,of_node_put,,success,error
of_get_next_available_child,of_node_put,arg0,success,error
of_get_next_child,of_node_put,retval,success,error
of_get_parent,of_node_put,arg0,success,error
of_graph_get_next_endpoint,of_node_put,,success,error
of_graph_get_remote_node,of_node_put,,success,error
of_mdio_find_device,put_device,retval,success,error
of_node_get,of_node_put,retval,success,error
of_reset_control_get_exclusive,reset_control_put,retval,success,error
ovl_get_fh,kfree,retval,success,error
pci_store_saved_state,kfree,retval,success,error
pmf_find_function,pmf_put_function,retval,success,error
power_supply_get_by_name,power_supply_put,,success,error
prestera_bridge_create,prestera_bridge_put,retval,success,error
sas_port_alloc_num,sas_port_free,retval,success,error
scsi_device_lookup_by_target,scsi_device_put,retval,success,error
scsi_host_lookup,scsi_host_put,retval,success,error
sync_file_get_fence,dma_fence_put,retval,success,error
sysfs_get_dirent,sysfs_put,retval,success,error
tipc_aead_get,tipc_aead_put,retval,success,error
typec_mux_get,typec_mux_put,retval,success,error
xprt_switch_alloc,xprt_switch_put,retval,success,error
